
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-11-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.0
Rrup Min (km):, 5.0
Rrup Max (km):, 30.0
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 40.0
Scale Factor Min:, 0.2
Scale Factor Max:, 7.0
Period Array:, 0.52,0.65,0.78
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 313, 0.0007, 1.5555, -, 5.4, 15.4, 0.9, "Corinth_ Greece", 1981, "Corinth", 6.6, Normal Oblique, 10.27, 10.27, 361.4, 0.25, 1.5562, RSN313_CORINTH_COR--L.AT2, RSN313_CORINTH_COR--T.AT2 , RSN313_CORINTH_COR-UP.AT2  
2, SRSS, 1086, 0.0004, 0.6131, 2.436, 3.3, 6.8, 5.0, "Northridge-01", 1994, "Sylmar - Olive View Med FF", 6.69, Reverse, 1.74, 5.3, 440.54, 0.12, 0.6133, RSN1086_NORTHR_SYL090.AT2, RSN1086_NORTHR_SYL360.AT2 , RSN1086_NORTHR_SYL-UP.AT2  
3, SRSS, 2628, 0.0006, 1.0218, -, 2.3, 5.4, 2.1, "Chi-Chi_ Taiwan-03", 1999, "TCU078", 6.2, Reverse, 0.0, 7.62, 443.04, 0.05, 1.0223, RSN2628_CHICHI.03_TCU078N.AT2, RSN2628_CHICHI.03_TCU078E.AT2 , RSN2628_CHICHI.03_TCU078V.AT2  
4, SRSS, 2635, 0.0018, 5.6188, -, 3.0, 7.3, 0.1, "Chi-Chi_ Taiwan-03", 1999, "TCU089", 6.2, Reverse, 5.93, 9.81, 671.52, 0.125, 5.6215, RSN2635_CHICHI.03_TCU089N.AT2, RSN2635_CHICHI.03_TCU089E.AT2 , RSN2635_CHICHI.03_TCU089V.AT2  
5, SRSS, 2734, 0.0017, 0.9006, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 0.9011, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
6, SRSS, 3473, 0.001, 1.4828, 4.151, 3.6, 7.4, 1.0, "Chi-Chi_ Taiwan-06", 1999, "TCU078", 6.3, Reverse, 5.72, 11.52, 443.04, 0.04, 1.4835, RSN3473_CHICHI.06_TCU078N.AT2, RSN3473_CHICHI.06_TCU078E.AT2 , RSN3473_CHICHI.06_TCU078V.AT2  
7, SRSS, 4069, 0.0009, 4.9864, -, 4.9, 11.1, 0.2, "Parkfield-02_ CA", 2004, "PARKFIELD - JACK CANYON", 6.0, strike slip, 9.12, 9.46, 576.21, 0.125, 4.9887, RSN4069_PARK2004_JACK-90.AT2, RSN4069_PARK2004_JACK360.AT2 , RSN4069_PARK2004_JACK-UP.AT2  
8, SRSS, 4127, 0.0005, 5.9081, -, 2.3, 9.1, 0.2, "Parkfield-02_ CA", 2004, "Parkfield - Stone Corral 2E", 6.0, strike slip, 5.23, 5.8, 566.33, 0.5, 5.9108, RSN4127_PARK2004_SC2090.AT2, RSN4127_PARK2004_SC2360.AT2 , RSN4127_PARK2004_SC2-UP.AT2  
9, SRSS, 4228, 0.0009, 1.1307, 1.799, 3.9, 12.2, 2.2, "Niigata_ Japan", 2004, "NIGH11", 6.63, Reverse, 6.27, 8.93, 375.0, 0.05, 1.1312, RSN4228_NIIGATA_NIGH11NS.AT2, RSN4228_NIIGATA_NIGH11EW.AT2 , RSN4228_NIIGATA_NIGH11UD.AT2  
10, SRSS, 4847, 0.0008, 0.8014, 1.4, 7.3, 20.3, 2.3, "Chuetsu-oki_ Japan", 2007, "Joetsu Kakizakiku Kakizaki", 6.8, Reverse, 9.43, 11.94, 383.43, 0.0875, 0.8018, RSN4847_CHUETSU_65010NS.AT2, RSN4847_CHUETSU_65010EW.AT2 , RSN4847_CHUETSU_65010UD.AT2  
11, SRSS, 5818, 0.0017, 0.9252, -, 6.5, 15.1, 7.3, "Iwate_ Japan", 2008, "Kurihara City", 6.9, Reverse, 12.83, 12.85, 512.26, 0.1, 0.9256, RSN5818_IWATE_48A61NS.AT2, RSN5818_IWATE_48A61EW.AT2 , RSN5818_IWATE_48A61UD.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-313 SRSS pSa (g),RSN-1086 SRSS pSa (g),RSN-2628 SRSS pSa (g),RSN-2635 SRSS pSa (g),RSN-2734 SRSS pSa (g),RSN-3473 SRSS pSa (g),RSN-4069 SRSS pSa (g),RSN-4127 SRSS pSa (g),RSN-4228 SRSS pSa (g),RSN-4847 SRSS pSa (g),RSN-5818 SRSS pSa (g)
2.2,0.08486635,0.1558981,0.0459,0.452818,0.5279821,0.119,0.08401302,0.2038427,0.123,0.01870867,0.05261332,0.015,0.2385987,0.115734,0.0922,0.06811025,0.07766792,0.0662,0.01421819,0.01438608,0.00466,0.03215296,0.01954612,0.00648,0.1305166,0.1433251,0.0408,0.3020513,0.3461366,0.0973,0.214119,0.2191403,0.0691
2.4,0.09063852,0.1350283,0.0336,0.410405,0.5071186,0.137,0.07608324,0.1648134,0.117,0.01348085,0.04706527,0.0139,0.192228,0.09541635,0.0845,0.05843564,0.06844299,0.0685,0.01010433,0.01174419,0.00529,0.02441603,0.01479551,0.00533,0.1205435,0.1252827,0.0521,0.1906766,0.2961804,0.128,0.1896024,0.1739268,0.0791
2.5,0.09693904,0.120505,0.0304,0.3866832,0.4934519,0.137,0.07094956,0.1505882,0.115,0.01334606,0.04266237,0.0126,0.1809494,0.08875764,0.0846,0.05741508,0.07329413,0.068,0.00920472,0.01072332,0.0055,0.02139919,0.0128467,0.0049,0.113537,0.1169211,0.0463,0.1475042,0.2602085,0.139,0.1744959,0.1691168,0.0867
2.6,0.1015306,0.1082921,0.0279,0.3612406,0.4574153,0.132,0.06554914,0.147877,0.115,0.01365145,0.03761758,0.0117,0.1681027,0.08190882,0.0843,0.05533698,0.07740471,0.0666,0.0083086,0.00982014,0.0057,0.01880177,0.01115137,0.00452,0.1071193,0.1091085,0.0386,0.135869,0.2217217,0.137,0.1649042,0.1490817,0.09
2.8,0.1029373,0.08440923,0.0254,0.2927765,0.3945635,0.117,0.05479903,0.143071,0.112,0.01506488,0.04415905,0.00943,0.1408976,0.08565542,0.0777,0.04588258,0.07889466,0.0617,0.00661875,0.00835863,0.00456,0.01465415,0.00841898,0.00382,0.09448884,0.0951669,0.0361,0.1658352,0.1963766,0.115,0.1680081,0.09760307,0.0941
3.0,0.08956606,0.06751653,0.0231,0.2626827,0.3426988,0.101,0.04760271,0.1328769,0.105,0.01441302,0.04507222,0.00787,0.1163476,0.08891574,0.0651,0.04125797,0.0750922,0.0554,0.00509444,0.00727408,0.00382,0.01197473,0.00732943,0.00317,0.08289157,0.08325786,0.0384,0.1970426,0.1761634,0.0963,0.1833197,0.07281822,0.0825
3.2,0.07867231,0.05187104,0.0233,0.2242119,0.2705687,0.0864,0.04280336,0.1213415,0.0938,0.01284033,0.03875135,0.00598,0.09580689,0.08855249,0.0525,0.0379187,0.07302217,0.0511,0.00438137,0.00646733,0.00315,0.01037617,0.00651431,0.00254,0.07262683,0.07308538,0.0421,0.1995444,0.142818,0.0824,0.1837925,0.070342,0.0619
3.4,0.06385195,0.03912143,0.0191,0.1848331,0.2159235,0.0696,0.03748038,0.1116168,0.0855,0.01109546,0.03288818,0.0049,0.0855229,0.08450006,0.0447,0.03509397,0.06906601,0.0459,0.00393738,0.00585321,0.00266,0.00907674,0.00578751,0.00199,0.06363602,0.06434914,0.0431,0.1775104,0.1111943,0.0695,0.1867178,0.06744316,0.0502
3.5,0.05492194,0.03427822,0.0167,0.1661507,0.2007454,0.0636,0.03539357,0.107671,0.0825,0.01064321,0.02929519,0.00472,0.08147218,0.08139026,0.0417,0.03366852,0.06718465,0.0442,0.00373408,0.00559619,0.0024,0.00851781,0.0054562,0.00183,0.06569859,0.06044432,0.0441,0.1611809,0.1044691,0.0636,0.1835953,0.06519982,0.045
3.6,0.04604657,0.03150288,0.0159,0.1485669,0.1852166,0.0599,0.03383119,0.1031143,0.0793,0.01089205,0.025697,0.00452,0.07761662,0.07776257,0.0391,0.03224357,0.06478579,0.0425,0.0035435,0.00536427,0.00212,0.00801019,0.00514562,0.00171,0.06059644,0.05681581,0.0442,0.1434287,0.09821057,0.0584,0.1767908,0.06240506,0.0401
3.8,0.03144629,0.02651518,0.0133,0.1173601,0.153728,0.0517,0.02999387,0.09358145,0.0726,0.011343,0.01928068,0.00416,0.07008971,0.0694472,0.0344,0.02943419,0.05956302,0.0389,0.00320109,0.00496325,0.00159,0.00712646,0.00458555,0.00146,0.04904157,0.05029166,0.0391,0.1097013,0.08709182,0.0523,0.1769154,0.05526789,0.0317
4.0,0.02757742,0.02233224,0.0122,0.0915413,0.1260107,0.0432,0.02647509,0.08376686,0.0661,0.01139785,0.01479505,0.00387,0.06342608,0.06059987,0.03,0.02673242,0.05621605,0.0352,0.00290251,0.00461812,0.00128,0.00638743,0.0040965,0.00124,0.04318267,0.04461957,0.0307,0.08456534,0.07779219,0.0448,0.1653306,0.05746942,0.0258
4.2,0.02437698,0.01891835,0.0112,0.07612843,0.1147845,0.037,0.02469225,0.07379722,0.0601,0.0119169,0.01343625,0.00365,0.05773327,0.05461593,0.0261,0.02418206,0.05425784,0.0318,0.00264102,0.00430695,0.000997,0.00576402,0.00367009,0.00106,0.03840606,0.03967295,0.0232,0.07154092,0.06976502,0.0372,0.1452819,0.05902168,0.0222
4.4,0.0210308,0.01617711,0.0102,0.06625053,0.1057773,0.0339,0.0230798,0.06426667,0.0547,0.01201498,0.01215863,0.00349,0.05240452,0.04875003,0.0225,0.02181252,0.05163071,0.0288,0.00241343,0.00402779,0.000803,0.00523225,0.00329835,0.000912,0.033728,0.03535162,0.019,0.06888019,0.06530961,0.0317,0.1299674,0.05845254,0.0206
4.6,0.01779146,0.01398524,0.00915,0.05761185,0.09750819,0.0309,0.02188809,0.05575537,0.0495,0.01277143,0.01132284,0.00337,0.0474348,0.04168016,0.0193,0.01964254,0.04855037,0.026,0.00221348,0.00377551,0.000694,0.00477467,0.00297422,0.00089,0.02993803,0.03156826,0.018,0.07210567,0.06118158,0.0272,0.1199865,0.05742347,0.02
4.8,0.01649084,0.01223797,0.00816,0.05010804,0.08999697,0.028,0.02103952,0.04954826,0.0448,0.01323171,0.01122018,0.00326,0.04290265,0.03448111,0.017,0.017673,0.0450043,0.0234,0.00203659,0.00354253,0.000643,0.0043777,0.00269107,0.000848,0.0266404,0.02823998,0.0181,0.07631428,0.060631,0.0232,0.1067395,0.05962189,0.0197
5.0,0.0168108,0.01083666,0.00723,0.04370301,0.08310278,0.0253,0.01942793,0.04459627,0.0411,0.01329194,0.0109125,0.00315,0.03878588,0.02975661,0.0159,0.01589544,0.04127992,0.0223,0.00188082,0.00332663,0.00062,0.00403075,0.0024428,0.000792,0.02376225,0.02531112,0.0185,0.07903308,0.05522191,0.022,0.09319206,0.0561194,0.0192
5.5,0.01497274,0.00856208,0.00528,0.03149917,0.06834871,0.0193,0.01479094,0.03455164,0.034,0.01258803,0.0094093,0.00286,0.02993253,0.0255071,0.0133,0.01220275,0.03232739,0.02,0.00156587,0.00285664,0.000551,0.0033313,0.00194439,0.000629,0.02482584,0.01973758,0.0194,0.08333555,0.0537264,0.015,0.0670646,0.04085993,0.0156
6.0,0.01116957,0.00707805,0.00385,0.02539889,0.05667293,0.0162,0.01159108,0.02712357,0.0276,0.01166034,0.01000463,0.00274,0.02306828,0.02151311,0.0112,0.00941675,0.0240091,0.0178,0.00132584,0.00246027,0.000448,0.00280508,0.00157655,0.000542,0.02820183,0.01588047,0.0172,0.07753466,0.0422721,0.0112,0.04757525,0.03826583,0.0162
6.5,0.00839811,0.00593357,0.00283,0.02075894,0.04744887,0.0149,0.00895476,0.02151231,0.0222,0.0101266,0.00963399,0.00266,0.01993738,0.01814225,0.00938,0.00733889,0.02078722,0.0158,0.0011422,0.00212846,0.00044,0.0023977,0.00129982,0.000481,0.02501355,0.01435517,0.0157,0.065837,0.03559357,0.0086,0.03747981,0.03103894,0.0153
7.0,0.00776428,0.00503743,0.00243,0.01719325,0.04008737,0.0124,0.00753882,0.01804338,0.0183,0.0085012,0.00861621,0.00258,0.01618219,0.0152278,0.00792,0.0062918,0.01860153,0.0139,0.00099798,0.00185141,0.000407,0.00207493,0.00108773,0.000455,0.02153614,0.01489209,0.0119,0.05455751,0.0296968,0.00693,0.03055078,0.02627028,0.0131
7.5,0.00676988,0.00435336,0.00212,0.01442172,0.03417671,0.00972,0.00668021,0.01548456,0.0165,0.00735339,0.00737074,0.00257,0.01436723,0.01280013,0.00673,0.00558231,0.01651897,0.0122,0.00088151,0.00161466,0.00036,0.00181417,0.00092234,0.000425,0.0187604,0.01298831,0.00993,0.04673284,0.025857,0.00579,0.02403655,0.0216726,0.0106
8.0,0.00571711,0.00384866,0.00186,0.01223804,0.02939447,0.00765,0.00600401,0.01329059,0.015,0.00650928,0.00611854,0.00234,0.01294651,0.01087784,0.00576,0.00497908,0.01468471,0.0106,0.00078638,0.00141137,0.000302,0.00160018,0.00079129,0.000392,0.01480299,0.01087005,0.00903,0.04062327,0.02270262,0.00491,0.01861235,0.01868521,0.00808
8.5,0.0047572,0.00342732,0.00163,0.0104944,0.02549259,0.00678,0.00544209,0.01139861,0.0137,0.00557776,0.00495984,0.00205,0.01176068,0.00933419,0.00496,0.0044648,0.01300177,0.00926,0.00070667,0.0012369,0.000245,0.00142266,0.00068592,0.000359,0.01238237,0.00954925,0.00785,0.03480867,0.02014151,0.00414,0.01617421,0.0165947,0.00685
9.0,0.00394439,0.00307002,0.00143,0.00920946,0.02228145,0.00615,0.00493114,0.00979999,0.0126,0.00493902,0.00392133,0.00178,0.01075832,0.00803834,0.0043,0.0040228,0.01148086,0.00805,0.00063738,0.00108601,0.000202,0.00127517,0.00060008,0.000326,0.01080081,0.00774799,0.00637,0.02952641,0.01803701,0.00356,0.01394346,0.01509804,0.00635
9.5,0.00328345,0.0027634,0.00126,0.0084869,0.01961612,0.00551,0.00445777,0.00848293,0.0116,0.00427493,0.00304061,0.00162,0.00987964,0.0069298,0.00375,0.00363932,0.0101174,0.00731,0.00057561,0.00095447,0.000182,0.0011496,0.0005293,0.000297,0.00964435,0.00714068,0.00541,0.02484678,0.01626589,0.00319,0.01197755,0.01366811,0.00581
10.0,0.00275756,0.00249819,0.00111,0.00780887,0.01738548,0.00489,0.00403416,0.00741023,0.0106,0.00364526,0.00273443,0.0015,0.00908631,0.00599301,0.0033,0.00330399,0.00890435,0.00661,0.00052024,0.00083963,0.000165,0.00104169,0.0004703,0.000269,0.00896024,0.00636115,0.00469,0.02080682,0.01473711,0.00285,0.01028924,0.01230794,0.00526
11.0,0.00201596,0.0020659,0.000885,0.00660252,0.01390458,0.00383,0.00336993,0.005851,0.00893,0.00260888,0.00227402,0.0011,0.00770842,0.00458797,0.00258,0.00274938,0.00689879,0.00506,0.00042735,0.0006546,0.000139,0.00086686,0.00037846,0.000222,0.00720792,0.00471372,0.00352,0.01463844,0.01219576,0.00231,0.00768259,0.00982524,0.00424
12.0,0.00155175,0.00173241,0.000716,0.00559582,0.01135635,0.00301,0.00290849,0.0050305,0.00742,0.00188667,0.00194006,0.000782,0.00658266,0.00364995,0.00205,0.00231762,0.00537896,0.00447,0.00035548,0.00052025,0.000118,0.00073253,0.00031117,0.000184,0.00549177,0.00358619,0.00297,0.01063714,0.01015971,0.00192,0.00593258,0.00774862,0.00348
13.0,0.00126021,0.0014709,0.000589,0.00476812,0.00944205,0.0024,0.00255223,0.00440966,0.00613,0.00153594,0.00165685,0.0006,0.00566674,0.00298175,0.00165,0.00197989,0.004236,0.00376,0.00029987,0.00042379,0.0001,0.00062713,0.00026043,0.000154,0.00407254,0.00314707,0.00249,0.00812542,0.00851938,0.00162,0.00471777,0.00621317,0.00288
14.0,0.00113414,0.00126271,0.000491,0.00409071,0.00797098,0.00201,0.002237,0.00390377,0.00507,0.00125355,0.00143047,0.000494,0.00490813,0.00246533,0.00135,0.00171356,0.00337067,0.00329,0.00025609,0.00035331,8.45e-05,0.00054288,0.00022124,0.000131,0.0033226,0.00278872,0.0021,0.00651226,0.00720222,0.00138,0.00385,0.00495987,0.00237
15.0,0.00101195,0.00109473,0.000415,0.00353557,0.00681784,0.00172,0.00194374,0.00346935,0.0042,0.00103321,0.00121923,0.00041,0.00426506,0.00205069,0.00113,0.00150069,0.0027069,0.00284,0.00022097,0.00030016,7.19e-05,0.00047448,0.00019033,0.000111,0.00288094,0.00249285,0.00178,0.0054148,0.00614573,0.00119,0.00321782,0.00450767,0.00195
20.0,0.00057165,0.00060217,0.00021,0.00189401,0.0036058,0.000906,0.00091343,0.00197427,0.0019,0.00047857,0.00056973,0.000195,0.00217299,0.00103065,0.000563,0.00087267,0.00155113,0.00168,0.00011931,0.00015807,3.96e-05,0.00026981,0.00010287,5.71e-05,0.00156166,0.00154269,0.000822,0.00276963,0.0031913,0.000798,0.00166677,0.00296605,0.001
